"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","CUSTOMER REFERENCE","BACKORDER","UNIT PRICE","EXTENDED PRICE"
"1","10","399-C0805C105K3RACTUCT-ND","C0805C105K3RACTU","CAP CER 1UF 25V X7R 0805","","0","0.06800","0.68"
"2","5","587-4122-1-ND","MDMK3030T4R7MM","FIXED IND 4.7UH 1.3A 263MOHM SMD","","0","0.46000","2.30"
"3","5","399-C0805C104K5RACTUCT-ND","C0805C104K5RACTU","CAP CER 0.1UF 50V X7R 0805","","0","0.08000","0.40"
"4","5","160-1183-1-ND","LTST-C190GKT","LED GREEN CLEAR CHIP SMD","","0","0.12000","0.60"
"5","5","311-10.0KCRCT-ND","RC0805FR-0710KL","RES 10K OHM 1% 1/8W 0805","","5","0.14000","0.70"
"6","5","311-100CRCT-ND","RC0805FR-07100RL","RES 100 OHM 1% 1/8W 0805","","0","0.10000","0.50"
"7","5","311-220CRCT-ND","RC0805FR-07220RL","RES 220 OHM 1% 1/8W 0805","","0","0.10000","0.50"
"8","5","311-1.00KCRCT-ND","RC0805FR-071KL","RES 1K OHM 1% 1/8W 0805","","5","0.10000","0.50"
"9","5","311-47.5KCRCT-ND","RC0805FR-0747K5L","RES 47.5K OHM 1% 1/8W 0805","","5","0.10000","0.50"
"10","5","CKN10249CT-ND","KMR421G LFS","SWITCH TACTILE SPST-NO 0.05A 32V","","0","0.67000","3.35"
"11","10","WM11263CT-ND","1051640001","CONN RCPT USB2.0 MICRO B SMD R/A","","0","0.79400","7.94"
